vt_soundfile,vt_type
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_Old_ID04.wav,old
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_New_ID01.wav,new
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_New_ID02.wav,new
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_Old_ID08.wav,old
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_Old_ID05.wav,old
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_New_ID03.wav,new
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_Old_ID01.wav,old
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_New_ID04.wav,new
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_New_ID05.wav,new
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_New_ID06.wav,new
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_Old_ID06.wav,old
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_Old_ID03.wav,old
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_New_ID07.wav,new
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_Old_ID02.wav,old
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_New_ID08.wav,new
Sounds_Resampled-44100Hz_Normalized-100-percent-window_Adjusted-66150/Voice_Old_ID07.wav,old